name,id1,id2,year,height
Бурдж-Халифа,1,1,2010,828
Варшавская радиомачта,2,2,1974,646.38
Tokyo Skytree,3,3,2012,634
Шанхайская башня,1,4,2013,632
Телерадиомачта KVLY-TV,4,5,1963,629
Телебашня Гуанчжоу,5,6,2009,600
Международный финансовый центр Пинань,1,7,2017,600
Lotte World Tower,1,8,2017,555
Си-Эн Тауэр,3,9,1976,553
Останкинская башня,3,10,1967,540.1
Уиллис-тауэр,1,11,1974,527.3
Тайбэй 101,1,12,2004,509.2
Шанхайский всемирный финансовый центр,1,4,2008,492
Международный коммерческий центр,1,13,2009,484
Восточная жемчужина,3,4,1994,467.9
Лахта-центр,1,14,2018,462
Landmark 81,1,15,2018,461.2
875 Норт-Мичиган-авеню,1,11,1969,457.2
Петронас. башня 1 и 2,1,16,1998,452
Финансовый центр Наньцзин-Гринлэнд,1,17,2009,450
Эмпайр-стейт-билдинг,1,18,1931,448.7
Международный финансовый центр. башня зап.,1,6,2010,437.5
Kingkey 100,1,7,2011,439.8
Бордже Милад,3,19,2003,435
Парк-авеню 432,1,18,2015,425.5
Международная гостиница и башня Трампа,1,11,2009,423.4
Менара Куала-Лумпур,3,16,1995,421
Цзинь Мао,1,4,1999,420.5
Экибастузская ГРЭС-2,6,20,1987,419.7
Международный финансовый центр,1,13,2003,415.8
Тяньцзиньская телебашня,3,21,1991,415.2
Башня Аль-Хамра,1,22,2010,412
Пекинская телебашня,3,23,1992,405
Башня CITIC,1,6,1997,391.1
Киевская телебашня,7,24,1973,385
Башня Сёньхин,1,7,1996,384
Абу-Даби Плаза,1,25,2015,382
Бурдж-Мохаммед-бин-Рашид,1,26,2014,381
Inco Superstack,6,27,1971,380
Тантекс-Скай-Тауэр,1,28,1997,378
JW Marriott Marquis Dubai 1 и 2,1,1,2010,376
Ташкентская телебашня,8,29,1985,374.9
Башня Федерация Восток,1,10,2016,374
Сентрал-плаза,1,13,1992,374
Башня Освобождения,3,22,1996,372
Телебашня Коктобе,8,30,1983,371.5
Дымовая труба электростанции,6,31,1977,371
Дымовая труба Берёзовской ГРЭС,6,32,1985,370
Рижская телебашня,3,33,1987,368.5
Берлинская телебашня,3,34,1969,368
Дымовая труба электростанции,6,35,1968,367.6
Башня Банка Китая,1,13,1990,367.4
Башня Банка Америки,1,18,2008,366
Башня Алмас,1,1,2008,363
Дымовая труба электростанции в Трбовле,6,36,1976,360
Endesa Termic,6,37,1974,356
SEG Plaza,1,7,2000,355.8
First Canadian Place,1,9,1976,355
Эмиратская офисная башня,1,1,2000,354.6
ОКО Южная башня,1,10,2015,354
Виннцкая телемачта,4,38,1961,354
Медеплавильный завод,6,39,1995,351.5
Стратосфера Лас-Вегас,3,40,1996,350.2
Дымовая труба Сырдарьинской электростанции,6,41,1980,350